Class,Explicit Feature Map,Kernel,Parameters,Factory Type
:py:class:`kerch.kernel.AdditiveChi2`,:octicon:`x;1em;sd-text-danger`  ,":math:`k(x,y) = \sum_i \frac{2x_i y_i}{x_i + y_i}`",None,``’additive_chi_2’``
:py:class:`kerch.kernel.SkewedChi2`,:octicon:`x;1em;sd-text-danger`  ,":math:`k(x,y) = \prod_i \frac{2\sqrt{x_i+p} \sqrt{y_i+p}}{x_i + y_i + 2}`",``p``,``’skewed_chi_2’``
